Papel,Cotação,P/L,P/VP,PSR,Div.Yield,P/Ativo,P/Cap.Giro,P/EBIT,P/Ativ Circ.Liq,EV/EBIT,EV/EBITDA,Mrg Ebit,Mrg. Líq.,Liq. Corr.,ROIC,ROE,Liq.2meses,Patrim. Líq,Dív.Brut/ Patrim.,Cresc. Rec.5a
BPAR3,"182,07","7,19","1,17","0,000","8,57%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","16,25%","0,00","1.484.580.000,00","0,00","7,75%"
RAPT4,"14,12","7,35","2,38","0,910","1,71%","0,544","2,15","8,55","-4,84","10,56","8,03","10,65%","15,54%","1,75","10,08%","32,46%","40.629.500,00","2.047.380.000,00","1,75","21,90%"
JHSF3,"6,91","7,40","1,27","4,067","5,05%","0,654","6,09","7,41","-2,98","8,23","7,92","54,86%","54,58%","1,72","10,46%","17,17%","47.448.000,00","3.748.750.000,00","0,42","32,42%"
ENBR3,"18,60","7,48","1,12","0,753","5,38%","0,373","-19,13","3,93","-0,98","6,08","4,93","19,15%","11,44%","0,93","11,41%","14,90%","66.994.000,00","10.121.100.000,00","0,89","12,16%"
DPPI4,"38,90","7,62","2,28","-0,665","0,00%","1,718","3,98","87,28","4,46","73,74","73,74","-0,76%","-5,04%","3,14","3,00%","29,97%","0,00","545.227.000,00","0,06","15,14%"
RNEW4,"4,10","7,62","-0,15","2,426","0,00%","0,074","0,63","-2,56","-0,07","-23,75","-29,34","-94,71%","31,82%","1,38","-3,03%","-2,03%","229.610,00","-1.107.640.000,00","-1,32","-44,35%"
CCTU4,"37,28","7,65","0,92","0,307","0,00%","0,405","2,29","14,56","-28,32","21,77","21,77","2,10%","4,00%","1,48","2,96%","12,07%","0,00","82.550.000,00","0,48","12,54%"
BRSR3,"13,66","7,68","0,67","0,000","4,67%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","8,72%","161.611,00","8.344.060.000,00","0,00","10,57%"
VVAR4,"4,84","7,70","1,29","0,268","0,00%","0,234","10,29","2,88","-0,99","5,16","3,85","9,28%","3,47%","1,04","12,05%","16,79%","0,00","5.979.000.000,00","1,52","7,82%"
VVAR11,"14,58","7,73","1,30","0,269","0,00%","0,235","10,34","2,89","-0,99","5,17","3,86","9,28%","3,47%","1,04","12,05%","16,79%","0,00","5.979.000.000,00","1,52","7,82%"
POSI3,"10,51","7,80","1,46","0,680","0,31%","0,528","1,77","26,90","3,55","30,85","16,84","2,53%","8,93%","1,61","3,22%","18,69%","43.982.000,00","1.021.910.000,00","0,75","4,67%"
ALUP3,"8,41","7,85","1,29","1,204","2,73%","0,327","4,12","2,23","-0,77","4,31","4,14","54,07%","33,47%","1,78","16,51%","16,38%","116.757,00","5.750.120.000,00","1,57","46,85%"
RNEW11,"12,69","7,87","-0,16","2,503","0,00%","0,077","0,65","-2,64","-0,07","-23,84","-29,44","-94,71%","31,82%","1,38","-3,03%","-2,03%","137.358,00","-1.107.640.000,00","-1,32","-44,35%"
BEES4,"5,79","7,89","1,07","0,000","3,39%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","13,52%","19.782,60","1.713.900.000,00","0,00","6,85%"
ALUP11,"25,50","7,93","1,30","1,217","2,71%","0,331","4,16","2,25","-0,78","4,34","4,17","54,07%","33,47%","1,78","16,51%","16,38%","17.810.500,00","5.750.120.000,00","1,57","46,85%"
ALUP4,"8,51","7,94","1,30","1,218","2,70%","0,331","4,17","2,25","-0,78","4,34","4,17","54,07%","33,47%","1,78","16,51%","16,38%","180.701,00","5.750.120.000,00","1,57","46,85%"
EKTR4,"24,40","7,99","1,59","0,692","13,09%","0,510","46,35","4,35","-1,51","7,19","5,90","15,89%","8,66%","1,03","14,54%","19,85%","25.497,60","2.982.000.000,00","1,34","9,18%"
HGTX3,"17,10","8,10","1,71","2,589","2,57%","1,187","3,50","79,93","3,91","74,86","21,06","3,24%","31,95%","2,25","2,16%","21,14%","41.641.800,00","1.622.300.000,00","0,18","-6,24%"
CMET4,"3,91","8,10","5,38","3,068","0,00%","3,136","9,47","5,72","27,20","5,34","5,34","53,63%","43,03%","2,64","81,40%","66,40%","0,00","2.847.970.000,00","0,18","30,18%"
